Home Team,Away Team,FH Goals,SH Goals,20 Min Score,Goals Scored (20),1+ More Goals By FT (20),2+ More Goals By FT (20),3+ More Goals By FT (20),1+ More Goals By HT (20),30 Min Score,Goals Scored (30),1+ More Goals By FT (30),2+ More Goals By FT (30),3+ More Goals By FT (30),1+ More Goals By HT (30),60 Min Score,Goals Scored (60),1+ More Goals By FT (60),2+ More Goals By FT (60),70 Min Score,Goals Scored (70),1+ More Goals By FT (70),2+ More Goals By FT (70),80 Min Score,Goals Scored (80),1+ More Goals By FT (80)
Arsenal,Leicester,1,1,1 - 0,1,1,0,0,0,1 - 0,1,1,0,0,0,2 - 0,2,0,0,2 - 0,2,0,0,2 - 0,2,0
Chelsea,Newcastle,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Everton,Wolves,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 1,1,0,0,0 - 1,1,0,0,0 - 1,1,0
Leeds,Norwich,1,2,1 - 0,1,1,1,0,0,1 - 0,1,1,1,0,0,1 - 0,1,1,1,1 - 0,1,1,1,1 - 0,1,1
Southampton,Watford,3,0,0 - 1,1,1,1,0,1,0 - 1,1,1,1,0,1,1 - 2,3,0,0,1 - 2,3,0,0,1 - 2,3,0
West Ham,Aston Villa,0,3,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1 - 0,1,1,1,1 - 0,1,1
Man Utd,Tottenham,3,2,1 - 0,1,1,1,1,1,1 - 0,1,1,1,1,1,2 - 1,3,1,1,2 - 1,3,1,1,2 - 2,4,1
Brentford,Burnley,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0 - 0,0,1,1,0 - 0,0,1
Brighton,Liverpool,1,1,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0 - 2,2,0,0,0 - 2,2,0
Leeds,Aston Villa,1,2,0 - 0,0,1,1,1,1,0 - 1,1,1,1,0,0,0 - 1,1,1,1,0 - 2,2,1,0,0 - 3,3,0
Norwich,Chelsea,2,2,0 - 2,2,1,1,0,0,0 - 2,2,1,1,0,0,0 - 2,2,1,1,1 - 2,3,1,0,1 - 2,3,1
Southampton,Newcastle,2,1,0 - 0,0,1,1,1,1,1 - 0,1,1,1,0,1,1 - 2,3,0,0,1 - 2,3,0,0,1 - 2,3,0
Wolves,Watford,3,1,2 - 0,2,1,1,0,1,3 - 0,3,1,0,0,0,3 - 0,3,1,0,3 - 0,3,1,0,3 - 0,3,1
Tottenham,Everton,3,2,2 - 0,2,1,1,1,1,2 - 0,2,1,1,1,1,5 - 0,5,0,0,5 - 0,5,0,0,5 - 0,5,0
Man City,Man Utd,3,2,1 - 0,1,1,1,1,1,2 - 1,3,1,1,0,0,2 - 1,3,1,1,3 - 1,4,1,0,3 - 1,4,1
Watford,Arsenal,3,2,1 - 1,2,1,1,1,1,1 - 2,3,1,1,0,0,1 - 3,4,1,0,1 - 3,4,1,0,1 - 3,4,1
Liverpool,West Ham,1,0,0 - 0,0,1,0,0,1,1 - 0,1,0,0,0,0,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Aston Villa,Southampton,2,2,1 - 0,1,1,1,1,1,1 - 0,1,1,1,1,1,4 - 0,4,0,0,4 - 0,4,0,0,4 - 0,4,0
Burnley,Chelsea,0,4,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,0 - 3,3,1,0,0 - 4,4,0,0,0 - 4,4,0
