Product Name,Product Price,Product Rating,Number of Reviews,Product Units Sold,Product Category,Product URL,Product Image URL
"American Flag Print Hoodies, Casual Drawstring Long Sleeve Sweatshirt, Women's Clothing",11.69,4.7,21202,15K+,Women's Sweatshirts,https://www.temu.com/american-flag-print-hoodies-casual-drawstring-long-sleeve-sweatshirt-womens-clothing-g-601099520329949.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/5e40b5d10580843037e2fbd7c3e6ec56.jpg?imageView2/2/w/500/q/80/format/webp
"1pc/2pcs Blinds Cleaning Brush,Handheld Mini Curtain Brush Dust Remover With 7 Removable Microfiber Sleeves For Air Conditioning Home Gadgets, Car Vents, Fan",1.97,4.7,94071,100K+,Household & Cleaning Supplies,https://www.temu.com/1-2pc-7-finger-dusting-cleaner-tool-hand-held-window-shutters-mini-duster-brush-blind-dust-cleaner-brush-window-air-conditioner-dirt-cleaner-g-601099512383869.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/77fa4f4432238e0478694667922d33ed.jpg?imageView2/2/w/500/q/80/format/webp
"Men's Color Block Slides Casual Lightweight Non Slip Slippers, Open Toe Shoes For Indoor Outdoor Beach Shower, Spring And Summer",9.77,4.7,26278,100K+,Men's Slippers,https://www.temu.com/mens-and-womens-color-block-slides-casual-lightweight-non-slip-slippers-open-toe-shoes-for-indoor-outdoor-beach-shower-spring-and-summer-g-601099515547864.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/7212dafa2085aec8a5c6d325db03bed0.jpg?imageView2/2/w/500/q/80/format/webp
"Men's Lace-up Sneakers, Striped Detail Design Skate Shoes With Good Grip, Breathable",18.37,4.6,5444,25K+,Men's Skate Shoes,https://www.temu.com/mens-lace-up-sneakers-striped-detail-design-skate-shoes-with-good-grip-breathable-g-601099521064673.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/dfc4d1fbbaca82456100d741c231d80c.jpg?imageView2/2/w/500/q/80/format/webp
"Effortless Baby Strolling: 4-in-1 Foldable Stroller With One-Click Car Collection, Christmas Halloween Gift ,Halloween, Thanksgiving, Christmas Gift",241.97,4.7,17745,2.2K+,,https://www.temu.com/newborn-baby-4-in-1-foldable-stroller-with-one-click-car-collection-g-601099516051105.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/3fb0fee15577109f3f2ad43bfdca6e5b.jpg?imageView2/2/w/500/q/80/format/webp
"7pcs Seamless Solid Thongs, Breathable & Comfy Stretchy Intimates Panties, Women's Lingerie & Underwear",7.59,4.7,7538,20K+,Women's Panties,https://www.temu.com/7pcs-seamless-solid-thongs-breathable-comfy-stretchy-intimates-panties-womens-lingerie-underwear-g-601099518585906.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/4927f66b548a19d6fec4cc45a022a328.jpg?imageView2/2/w/500/q/80/format/webp
"1pc Electric Lunch Box Food Heater, Portable Heating Lunch Box For Cars And Homes, Stainless Steel Container Fork And Spoon And Portable Bag, Car Accessories, Travel Essentials, Fishing Food Box Portable Lunch Heating Box",16.77,4.6,16656,21K+,Small Appliances & Accessories,https://www.temu.com/1pc-electric-lunch-box-food-heater-portable-heating-lunch-box-for-cars-and-homes-stainless-steel-container-fork-and-spoon-and-portable-bag-car-accessories-travel-essentials-fishing-food-box-portable-lunch-heating-box-g-601099512575733.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/ec61d8fb0547d6e0e4d19690b317e5b0.jpg?imageView2/2/w/500/q/80/format/webp
"Sunflower Pattern Girl's 2pcs, Long Sleeve Top & Leggings Set, Trendy Outfits, Kids Clothes For Spring Fall",8.63,4.9,11234,11K+,Girls' Sets,https://www.temu.com/sunflower-pattern-girls-2pcs-long-sleeve-top-leggings-set-trendy-outfits-kids-clothes-for-spring-fall-g-601099521461775.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/5912f546b722f7199151a863a024658e.jpg?imageView2/2/w/500/q/80/format/webp
"Girl's Princess Dress With Accessories Set, Puff Sleeve Lace Embroidery Decor, Halloween Holiday Party Prom Birthday Cosplay Performance Costume, Kids Clothes",18.67,4.9,15310,10K+,Costumes & Accessories,https://www.temu.com/girls-princess-dress-with-accessories-set-puff-sleeve-lace-embroidery-decor-halloween-holiday-party-prom-birthday-cosplay-performance-costume-kids-clothes-g-601099520114550.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/d8a3bf95b326e601e8bcd8c84a5f4f5c.jpg?imageView2/2/w/500/q/80/format/webp
White Super Powerful Flashlight Rechargeable Torch Light High Power LED Flashlight Tactical Lantern,7.47,4.7,12975,72K+,Lighting,https://www.temu.com/titanium-laser-torch-super-powerful-rechargeable-torch-flood-light-g-601099516264690.html,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/1b9fb86045b7519a49e3c2b4aa3205fe.jpg?imageView2/2/w/500/q/80/format/webp
